# ---------------------------------------------------------------------------------------
# REGIONAL EXTRACT, made on 2026-09-01 by pipeline/samudra/sources/glider.py's own scan.
#
# The complete EGO index is 248,440,873 bytes and 824,641 lines, of which 817,816 carry a
# readable position and date. Every one was scanned against DEMO_REGION (45-100 E, 10 S-25 N)
# and 2,876 matched, from ONE glider (WMO 2801950) in TWO deployments. The rows below are
# exactly those 2,876, unedited, with the archive's own header kept.
#
# It is committed so the finding is reproducible in every bake without downloading 248 MB.
# Re-derive it any time from ftp://ftp.ifremer.fr/ifremer/glider/v2/glider_prof_index.txt.
# ---------------------------------------------------------------------------------------
# Title : Profile directory file of the Gliders.
# Description : The directory file describes all individual profile files of the glider GDAC.
# Project : Glider
# Format version : 1.0
# Date of update : 20260901063748
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/glider/v2
# FTP root number 2 : N/A
# GDAC node : EGO GDAC
file,wmo,date,latitude,longitude,pressure_max,n_levels,parameter,ocean,date_update,gdac_date_creation,gdac_date_update
/sea057/sea057_20220128/profiles/R2801950_20220128_011D.nc,2801950,20211121002259,24.182,57.591,691.6,141,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012602,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_012.nc,2801950,20211121023003,24.191,57.604,684,113,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012602,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_013D.nc,2801950,20211121044940,24.2,57.601,750.4,156,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012602,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_014.nc,2801950,20211121070844,24.209,57.615,738.5,122,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012603,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_015D.nc,2801950,20211121094019,24.219,57.614,808.4,169,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012603,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_016.nc,2801950,20211121121053,24.23,57.628,804.7,132,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012604,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_017D.nc,2801950,20211121145628,24.24,57.629,809.6,175,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012604,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_018.nc,2801950,20211121172933,24.252,57.643,802.2,131,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094808,20220327012604,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_019D.nc,2801950,20211121200437,24.259,57.637,810.5,169,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012605,20241011125641
/sea057/sea057_20220128/profiles/R2801950_20220128_020.nc,2801950,20211121223441,24.267,57.654,806.2,131,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012606,20241011125641
